CO_ID;DATA;CL_ID;CL_GENERO;CL_EC;CL_FHL;CL_SEG;QTD_ITENS_DISTINTOS;QTD_UNIDADES;QTD_CATEGORIAS_DISTINTAS
10126;2019-01-13;742;M;1;1;C;22;24;5
10139;2019-01-13;884;F;3;2;C;69;75;6
10192;2019-01-13;325;M;1;3;B;35;38;7
10254;2019-01-13;83;M;1;4;B;69;85;6
10263;2019-01-13;391;F;2;0;A;33;38;5
10326;2019-01-13;785;M;1;4;C;33;35;6
10421;2019-01-13;812;F;2;0;A;50;60;7
10453;2019-01-13;398;F;4;1;B;53;62;5
10483;2019-01-13;206;F;3;1;C;21;22;4
10541;2019-01-13;491;M;2;1;A;65;82;6
10595;2019-01-13;463;M;3;3;B;33;35;5
10670;2019-01-13;246;M;2;2;B;15;15;5
10722;2019-01-13;510;F;4;0;B;64;70;6
10776;2019-01-19;537;F;1;4;B;24;25;6
10807;2019-01-19;898;F;4;0;C;13;13;4
10808;2019-01-19;425;F;3;0;B;55;65;6
10869;2019-01-19;482;M;4;2;B;16;16;5
10900;2019-01-19;527;F;4;1;B;43;44;4
10944;2019-01-19;5;F;4;3;C;19;20;4
10954;2019-01-19;34;M;2;0;C;58;65;6
11035;2019-01-19;971;F;1;2;A;66;73;6
11095;2019-01-19;571;F;2;0;B;64;82;6
11100;2019-01-19;460;F;1;3;B;61;68;7
11112;2019-01-23;551;M;1;0;C;72;86;6
11181;2019-01-23;717;F;3;0;B;6;6;3
11195;2019-01-23;926;M;1;0;B;65;88;6
11270;2019-01-23;951;M;2;0;B;27;29;5
11272;2019-01-23;626;M;3;1;C;66;80;6
11279;2019-01-23;914;M;2;4;B;46;49;6
11288;2019-01-23;735;F;4;0;B;56;66;6
11376;2019-01-23;166;F;1;0;B;53;59;5
11454;2019-01-23;883;M;1;0;B;49;53;6
11508;2019-01-23;710;F;3;1;C;29;29;5
11607;2019-01-23;337;M;3;0;B;44;44;5
11626;2019-01-23;897;M;2;1;C;37;41;4
11679;2019-01-23;387;M;2;2;B;13;13;3
11740;2019-01-23;768;F;4;0;B;13;13;5
11792;2019-01-23;245;F;4;3;B;13;14;4
11800;2019-01-23;421;M;3;3;C;1;1;1
11843;2019-01-23;938;M;1;4;B;71;86;5
11923;2019-01-23;115;M;4;0;B;21;21;5
11982;2019-01-23;42;M;2;2;B;4;4;3
11983;2019-01-23;750;M;2;2;C;30;34;5
12044;2019-01-23;110;M;3;0;C;19;20;5
12110;2019-01-23;589;F;3;2;C;17;17;3
12159;2019-01-23;10;M;1;0;B;37;40;4
12251;2019-01-29;15;M;2;1;C;60;70;5
12295;2019-01-29;472;M;2;1;C;6;6;3
12344;2019-01-29;969;M;1;3;B;62;70;7
12414;2019-01-29;243;F;1;4;C;54;64;6
12457;2019-01-29;842;M;5;2;B;63;75;5
12550;2019-01-29;39;M;2;0;C;77;88;6
12580;2019-01-29;359;F;1;0;B;29;35;5
12649;2019-01-29;536;M;4;0;B;48;58;6
12655;2019-01-29;570;F;4;1;C;48;52;5
12717;2019-01-29;766;F;1;0;B;10;10;3
12748;2019-01-29;790;F;3;0;B;17;19;5
12754;2019-01-29;987;F;1;0;B;56;65;5
12783;2019-01-29;684;F;3;0;C;54;63;5
12870;2019-01-29;625;F;4;0;C;67;84;7
12887;2019-01-29;408;F;4;0;B;33;34;5
12913;2019-01-29;192;F;4;0;B;63;71;6
12930;2019-01-29;630;M;1;2;C;46;54;5
13002;2019-01-29;799;M;4;3;C;45;48;6
13037;2019-01-29;751;F;2;0;B;74;88;6
13068;2019-01-29;396;F;1;0;B;3;3;2
13112;2019-01-29;57;M;2;0;B;57;71;5
13197;2019-01-29;71;F;3;1;B;11;11;4
13266;2019-01-29;396;F;1;0;B;75;86;7
13284;2019-01-29;310;M;4;3;C;24;27;4
13350;2019-01-29;171;F;3;1;B;52;58;6
13414;2019-01-29;279;M;1;2;B;31;33;5
13444;2019-01-29;20;M;4;0;B;23;24;4
13455;2019-01-29;82;F;1;1;C;70;81;6
13460;2019-01-29;303;M;3;4;B;29;32;6
13476;2019-01-29;629;M;3;0;C;44;46;5
13555;2019-01-29;828;F;2;4;B;57;66;6
13638;2019-01-29;455;F;2;0;C;33;35;6
13695;2019-01-29;447;M;2;0;B;48;55;6
13721;2019-01-29;603;M;3;0;B;47;55;6
13773;2019-01-29;734;F;4;2;B;47;58;6
13788;2019-01-29;971;F;1;2;A;44;48;5
13836;2019-01-29;872;M;3;4;A;12;13;3
13868;2019-01-29;908;M;3;2;C;36;38;7
13935;2019-01-29;960;F;4;2;B;44;48;4
13992;2019-01-29;533;F;4;0;A;11;12;4
14046;2019-01-29;869;F;3;0;B;32;37;4
14063;2019-01-29;524;F;4;3;C;31;34;4
14076;2019-01-29;157;M;1;1;C;14;14;2
14094;2019-01-29;251;F;2;0;C;21;24;5
14158;2019-01-29;476;M;3;0;C;26;27;4
14249;2019-01-29;975;F;3;0;B;19;20;4
14347;2019-01-29;577;M;4;0;C;6;6;2
14418;2019-01-29;753;F;1;3;C;35;37;6
14421;2019-01-29;335;F;3;0;C;46;55;6
14422;2019-01-29;752;M;3;0;C;30;32;5
14448;2019-01-29;457;M;3;0;C;12;15;3
14486;2019-01-29;567;F;1;0;C;48;51;5
14497;2019-01-29;392;M;2;2;C;35;38;6
14518;2019-01-29;901;F;4;1;B;67;81;7
14597;2019-01-29;427;M;3;0;B;60;70;6
14605;2019-01-29;389;F;3;0;C;8;8;3
14644;2019-01-29;810;M;1;0;B;25;27;4
14704;2019-01-29;187;M;2;1;B;43;47;5
14741;2019-01-29;10;M;1;0;B;25;26;4
14816;2019-01-29;792;F;2;0;B;9;9;4
14822;2019-01-29;657;M;2;3;B;71;85;5
14876;2019-01-29;488;M;3;2;B;9;9;3
14940;2019-01-29;871;F;1;3;C;52;58;6
15013;2019-01-29;448;F;2;0;A;45;49;6
15106;2019-01-29;61;M;1;2;B;26;28;5
15130;2019-01-29;675;M;4;0;B;38;41;5
15174;2019-01-29;965;M;3;0;B;48;57;6
15197;2019-01-29;742;M;1;1;C;50;56;6
15227;2019-01-29;976;M;4;2;B;14;14;4
15229;2019-01-29;299;F;3;1;C;77;88;7
15319;2019-01-29;368;M;4;0;C;9;9;3
15410;2019-01-29;121;F;1;2;B;24;25;6
15412;2019-01-29;129;M;2;0;A;6;6;3
15481;2019-01-29;956;M;5;1;C;52;57;6
15526;2019-01-29;565;F;1;2;B;69;84;5
15606;2019-01-29;300;F;1;3;C;56;64;5
15625;2019-01-29;884;F;3;2;C;70;88;6
15628;2019-01-29;237;F;4;3;C;39;40;4
15703;2019-01-29;994;M;4;0;C;49;57;6
15772;2019-01-29;87;M;3;2;A;33;34;4
15869;2019-05-02;275;M;4;0;B;44;49;5
15909;2019-05-02;444;F;2;0;B;37;41;6
15951;2019-05-02;475;F;4;3;B;59;73;7
16049;2019-05-02;267;F;4;2;B;54;68;6
16128;2019-05-02;222;F;4;0;B;29;30;6
16221;2019-05-02;468;M;3;1;C;36;46;5
16295;2019-05-02;934;F;2;2;B;42;50;6
16366;2019-05-02;591;M;4;1;B;51;58;4
16381;2019-05-02;60;F;2;3;B;30;32;6
16441;2019-05-02;855;M;4;1;C;2;2;2
16469;2019-05-02;980;F;1;0;B;11;12;3
16559;2019-05-02;188;M;2;2;B;44;46;7
16577;2019-05-02;715;F;3;4;B;47;58;7
16605;2019-05-02;493;M;2;4;B;52;67;6
16636;2019-05-02;522;M;1;2;A;15;15;3
16703;2019-05-02;473;F;4;3;B;59;72;5
16707;2019-05-02;499;M;3;0;B;19;19;3
16753;2019-05-02;686;F;3;2;A;52;56;6
16766;2019-05-02;626;M;3;1;C;43;49;6
16847;2019-05-02;383;M;1;3;C;7;7;2
16912;2019-05-02;200;F;3;0;B;59;67;6
17001;2019-05-02;724;M;1;0;B;30;30;5
17072;2019-05-02;315;F;3;0;B;48;54;4
17107;2019-05-02;830;F;5;1;B;55;60;5
17201;2019-05-02;523;M;3;0;B;60;68;5
17268;2019-05-02;766;F;1;0;B;8;8;4
17356;2019-05-02;433;M;3;3;B;79;86;6
17368;2019-05-02;614;F;4;1;B;14;16;5
17453;2019-05-02;495;F;2;3;A;50;55;5
17503;2019-05-02;820;M;1;4;B;38;44;5
17565;2019-05-02;539;M;2;0;C;67;80;6
17659;2019-05-02;721;M;3;2;C;14;15;5
17686;2019-05-02;61;M;1;2;B;32;32;5
17689;2019-05-02;908;M;3;2;C;44;49;4
17710;2019-05-02;70;F;4;0;B;17;18;3
17756;2019-05-02;512;M;4;0;B;55;61;5
17841;2019-05-02;709;F;3;0;B;66;82;6
17850;2019-05-02;795;F;4;2;B;3;3;1
17920;2019-05-02;161;M;5;2;B;16;17;5
17936;2019-05-02;634;F;2;0;C;41;43;4
17982;2019-05-02;270;F;3;1;B;28;30;4
18056;2019-05-02;769;F;3;3;C;36;39;4
18076;2019-05-02;140;F;1;0;C;62;72;6
18125;2019-05-02;589;F;3;2;C;3;3;2
18178;2019-05-02;353;M;1;2;B;72;87;6
18236;2019-05-02;337;M;3;0;B;57;64;5
18242;2019-05-02;408;F;4;0;B;25;25;5
18269;2019-05-02;79;F;2;0;C;9;10;4
18272;2019-05-02;338;M;2;0;B;34;38;5
18370;2019-05-02;872;M;3;4;A;25;28;3
18424;2019-05-02;863;F;1;4;B;11;11;3
18498;2019-05-02;844;F;5;1;A;62;70;5
18541;2019-05-02;755;M;3;4;B;33;33;6
18552;2019-05-02;964;M;2;0;B;25;27;4
18623;2019-05-02;550;M;4;0;B;14;14;3
18645;2019-05-02;753;F;1;3;C;64;75;6
18687;2019-05-02;825;M;1;2;C;68;84;5
18720;2019-05-02;658;F;1;1;B;34;36;7
18800;2019-05-02;655;M;2;0;B;72;81;7
18878;2019-05-02;981;F;4;1;C;31;34;7
18914;2019-05-02;573;F;1;0;C;40;50;5
18954;2019-05-02;469;M;4;2;C;5;6;2
19035;2019-05-02;559;F;3;1;A;43;46;5
19078;2019-05-02;598;F;4;0;B;15;15;5
19084;2019-05-02;922;M;1;0;B;13;15;5
19100;2019-05-02;218;M;4;0;B;10;10;3
19197;2019-05-02;15;M;2;1;C;31;34;5
19274;2019-05-02;937;M;3;4;C;68;78;6
19365;2019-05-02;145;M;3;0;B;44;51;6
19382;2019-05-02;819;M;4;0;B;46;50;6
19422;2019-05-02;548;F;4;0;C;30;33;6
19511;2019-05-02;479;F;1;0;B;42;48;5
19561;2019-05-02;777;F;1;0;B;47;51;5
19581;2019-05-02;179;F;2;0;B;23;27;5
19677;2019-05-02;737;F;2;1;C;68;81;6
19735;2019-05-02;561;M;2;0;B;51;62;6
19823;2019-05-02;618;M;4;3;B;44;45;6
19846;2019-05-02;317;M;3;0;B;23;23;4
19904;2019-05-02;978;F;3;0;C;23;23;6
19935;2019-05-02;563;M;3;0;B;23;25;4
19949;2019-05-02;696;M;2;0;B;65;72;6
19977;2019-05-02;453;F;1;0;B;64;71;6
20047;2019-05-02;669;F;4;0;B;25;26;5
20057;2019-05-02;242;F;4;0;B;43;48;5
20139;2019-05-02;814;M;4;0;B;28;29;6
20173;2019-05-02;306;F;3;0;B;55;65;6
20255;2019-05-02;625;F;4;0;C;59;66;7
20281;2019-05-02;469;M;4;2;C;32;37;5
20328;2019-05-02;636;M;2;2;B;75;88;6
20388;2019-05-02;961;F;1;0;C;16;18;4
20479;2019-05-02;43;M;2;0;B;48;53;5
20550;2019-05-02;319;M;1;4;B;21;23;4
20646;2019-06-02;74;M;3;0;C;25;26;4
20709;2019-06-02;207;F;3;0;B;62;75;6
20774;2019-06-02;3;F;4;0;B;64;71;7
20809;2019-06-02;614;F;4;1;B;36;36;5
20891;2019-06-02;117;M;2;3;B;67;86;6
20938;2019-06-02;498;M;3;2;B;6;6;2
20997;2019-06-02;588;F;1;4;C;62;74;6
21023;2019-06-02;532;F;2;3;B;9;9;3
21063;2019-06-02;739;F;2;3;B;35;35;5
21095;2019-06-02;326;F;1;0;B;75;86;6
21160;2019-06-02;791;F;1;0;B;50;53;5
21166;2019-06-02;180;M;3;4;B;7;7;2
21244;2019-06-02;594;F;3;1;C;20;23;4
21282;2019-06-02;308;M;4;0;B;55;60;6
21290;2019-06-02;673;F;5;1;B;25;26;4
21292;2019-06-02;390;F;2;0;B;20;21;6
21365;2019-06-02;338;M;2;0;B;43;49;5
21442;2019-06-02;25;M;4;1;C;29;31;5
21499;2019-06-02;396;F;1;0;B;41;46;5
21565;2019-06-02;540;F;2;0;C;38;47;6
21606;2019-06-02;111;M;2;4;C;42;47;6
21619;2019-06-02;117;M;2;3;B;13;13;4
21682;2019-06-02;641;F;4;0;C;38;39;5
21757;2019-06-02;389;F;3;0;C;47;51;6
21845;2019-06-02;985;M;1;0;B;16;16;4
21904;2019-06-02;176;F;2;0;B;15;15;5
21993;2019-06-02;316;F;3;2;B;21;21;5
22022;2019-06-02;208;M;3;0;B;64;76;6
22046;2019-06-02;649;F;3;0;B;55;69;5
22119;2019-06-02;349;M;3;0;B;52;56;6
22180;2019-06-02;9;F;2;0;B;61;70;5
22227;2019-06-02;402;M;2;0;C;66;77;5
22298;2019-06-02;664;M;3;1;B;7;7;3
22319;2019-06-02;354;F;2;0;B;10;10;4
22353;2019-06-02;834;M;3;3;B;20;21;4
22402;2019-06-02;76;M;3;0;A;71;84;6
22441;2019-06-02;819;M;4;0;B;38;39;5
22500;2019-06-02;741;M;3;0;B;60;66;5
22543;2019-06-02;371;F;4;0;B;46;55;6
22553;2019-06-02;18;M;4;0;C;63;73;5
22613;2019-06-02;18;M;4;0;C;6;6;4
22709;2019-06-02;442;F;3;2;B;34;34;5
22744;2019-06-02;650;F;2;0;C;68;79;6
22810;2019-06-02;579;F;3;0;B;9;9;5
22895;2019-06-02;238;M;2;1;B;20;23;6
22933;2019-06-02;683;F;3;0;B;68;81;7
22935;2019-06-02;322;M;2;0;B;44;56;6
23010;2019-06-02;652;F;4;0;B;63;70;7
23037;2019-06-02;521;F;1;0;A;37;41;6
23116;2019-06-02;434;M;1;4;B;74;86;7
23145;2019-06-02;695;M;2;0;A;49;54;6
23190;2019-06-02;95;M;1;0;B;55;61;6
23194;2019-06-02;416;M;3;2;C;40;47;5
23230;2019-06-02;108;M;1;0;B;8;8;4
23309;2019-06-02;248;M;3;0;C;11;11;4
23339;2019-06-02;12;M;1;1;A;66;82;5
23359;2019-06-02;476;M;3;0;C;55;65;5
23449;2019-06-02;599;F;1;4;C;62;76;6
23475;2019-06-02;464;M;2;2;B;5;5;1
23490;2019-06-02;596;M;2;0;B;56;64;7
23555;2019-06-02;828;F;2;4;B;64;75;6
23633;2019-06-02;625;F;4;0;C;22;25;5
23653;2019-06-02;35;M;3;0;B;62;75;6
23683;2019-06-02;270;F;3;1;B;71;84;7
23722;2019-06-02;952;F;3;4;C;42;50;5
23747;2019-06-02;537;F;1;4;B;41;46;5
23757;2019-06-02;656;M;2;0;C;30;34;4
23798;2019-06-02;841;M;1;0;B;10;10;3
23812;2019-06-02;488;M;3;2;B;7;7;4
23876;2019-06-02;654;M;1;1;B;16;17;3
23907;2019-06-02;609;F;4;0;C;56;64;6
23981;2019-06-02;552;M;4;0;B;17;20;6
24076;2019-06-02;620;M;2;0;B;37;43;7
24173;2019-06-02;605;M;4;2;B;16;17;6
24182;2019-06-02;552;M;4;0;B;58;69;5
24193;2019-09-02;42;M;2;2;B;5;5;3
24246;2019-09-02;484;M;3;2;C;27;27;5
24338;2019-09-02;955;F;3;2;C;65;74;6
24365;2019-09-02;747;M;1;0;B;15;17;3
24412;2019-09-02;639;M;2;0;C;25;25;4
24469;2019-09-02;310;M;4;3;C;8;8;3
24507;2019-09-02;440;F;4;0;C;29;30;5
24553;2019-09-02;633;F;3;0;C;69;82;5
24586;2019-09-02;4;M;4;0;B;60;70;7
24681;2019-09-02;315;F;3;0;B;59;62;6
24713;2019-09-02;706;F;2;0;A;25;27;4
24749;2019-09-02;822;M;2;3;B;8;8;2
24811;2019-09-02;257;M;1;4;C;19;20;4
24902;2019-09-02;937;M;3;4;C;45;50;6
24961;2019-09-02;283;M;4;1;B;9;9;3
25024;2019-09-02;402;M;2;0;C;60;63;6
25101;2019-09-02;943;F;1;0;C;62;77;6
25134;2019-09-02;152;F;3;1;C;50;55;6
25172;2019-09-02;153;M;4;1;B;22;24;4
25177;2019-09-02;7;M;1;3;B;34;38;5
25254;2019-09-02;511;F;1;0;B;60;70;6
25279;2019-09-02;56;F;2;3;B;37;40;6
25292;2019-09-02;484;M;3;2;C;7;7;3
25327;2019-09-02;769;F;3;3;C;34;38;5
25359;2019-09-02;189;F;3;4;C;69;78;6
25361;2019-09-02;562;F;3;0;B;62;70;5
25388;2019-09-02;631;M;1;4;C;25;26;5
25464;2019-09-02;102;F;1;2;C;54;66;6
25495;2019-09-02;581;F;4;2;C;29;31;6
25548;2019-09-02;598;F;4;0;B;35;38;5
25567;2019-09-02;532;F;2;3;B;27;30;5
25607;2019-09-02;602;M;3;0;B;12;13;4
25698;2019-02-14;296;F;1;3;B;19;19;4
25735;2019-02-14;49;M;2;0;C;25;27;4
25804;2019-02-14;606;M;1;0;B;69;79;7
25871;2019-02-14;295;F;1;3;B;8;8;4
25886;2019-02-14;434;M;1;4;B;43;48;5
25887;2019-02-14;729;M;3;0;B;28;28;6
25919;2019-02-14;518;F;1;0;B;7;7;3
25935;2019-02-14;976;M;4;2;B;70;86;6
26026;2019-02-14;255;M;4;0;B;15;15;3
26028;2019-02-14;441;M;4;2;B;23;23;4
26080;2019-02-14;678;F;3;0;C;68;77;7
26122;2019-02-14;236;M;2;2;C;32;37;6
26150;2019-02-14;643;F;4;0;C;63;71;6
26184;2019-02-14;586;F;4;2;B;20;21;3
26258;2019-02-14;975;F;3;0;B;56;69;7
26318;2019-02-14;768;F;4;0;B;57;66;7
26414;2019-02-14;253;F;4;1;B;55;63;5
26484;2019-02-14;500;M;3;2;C;19;19;5
26562;2019-02-14;864;F;1;3;B;21;21;5
26565;2019-02-14;32;F;1;0;B;42;46;3
26594;2019-02-14;747;M;1;0;B;6;7;2
26680;2019-02-14;25;M;4;1;C;59;73;6
26765;2019-02-14;275;M;4;0;B;16;17;3
26840;2019-02-14;239;M;4;2;C;47;54;4
26918;2019-02-14;412;M;2;0;B;55;61;5
26927;2019-02-14;414;F;1;0;B;73;85;6
26931;2019-02-14;739;F;2;3;B;71;88;6
